RF00015	AABY01000063	RF00015	AACO02000129	1
RF00015	AABY01000063	RF00015	AACP01000036	1
RF00015	AABY01000063	RF00015	AACS02000001	1
RF00015	AABY01000063	RF00015	AACY020397167	1
RF00015	AABY01000063	RF00015	AAIL02000028	1
RF00015	AABY01000063	RF00015	AAJJ01000336	1
RF00015	AABY01000063	RF00015	AANV02000065	1
RF00015	AABY01000063	RF00015	AAQX01001192	1
RF00015	AABY01000063	RF00015	AF204671	1
RF00015	AABY01000063	RF00015	AL590450	1
RF00015	AABY01000063	RF00015	CAAL01000681	1
RF00015	AABY01000063	RF00015	D63682	1
RF00015	AABY01000063	RF00015	DQ451048	1
RF00015	AABY01000063	RF00059	AACY022101973	0
RF00015	AABY01000063	RF00059	AB033416	0
RF00015	AABY01000063	RF00059	AB042239	0
RF00015	AABY01000063	RF00059	AB111809	0
RF00015	AABY01000063	RF00059	AE004439	0
RF00015	AABY01000063	RF00059	AE014291	0
RF00015	AABY01000063	RF00059	AE015929	0
RF00015	AABY01000063	RF00059	AF264948	0
RF00015	AABY01000063	RF00059	AF269570	0
RF00015	AABY01000063	RF00059	AK120238	0
RF00015	AABY01000063	RF00059	AL445064	0
RF00015	AABY01000063	RF00059	AL583918	0
RF00015	AABY01000063	RF00059	AL627279	0
RF00015	AABY01000063	RF00059	AY007661	0
RF00015	AABY01000063	RF00059	AY102616	0
RF00015	AABY01000063	RF00059	BX569689	0
RF00015	AABY01000063	RF00059	BX640423	0
RF00015	AABY01000063	RF00059	BX842573	0
RF00015	AABY01000063	RF00059	BX842649	0
RF00015	AABY01000063	RF00059	BX927152	0
RF00015	AABY01000063	RF00162	AACY020322622	0
RF00015	AABY01000063	RF00162	AAWS01000061	0
RF00015	AABY01000063	RF00162	AM420293	0
RF00015	AABY01000063	RF00162	CP001022	0
RF00015	AABY01000063	RF00379	AAEK01000002	0
RF00015	AABY01000063	RF00379	AAOX01000002	0
RF00015	AABY01000063	RF00379	AE001437	0
RF00015	AABY01000063	RF00379	AE017180	0
RF00015	AABY01000063	RF00379	AF299117	0
RF00015	AABY01000063	RF00379	AL939115	0
RF00015	AABY01000063	RF00379	AL939129	0
